id,name,subject,class,qty_total,qty_available,created_at
694f3aceb9785,English,English,Four,12,12,"2025-12-27 06:47:58"
694f3c1a0047a,English,English,Five,12,12,"2025-12-27 06:53:30"
695cab2a4fd5d,Sindhui,Sindhi,Kachi,10,10,deleted,"2026-01-20 11:12:48"
6969e461e0e56,"English Book- Class one ",English,One,1,0,"2026-01-16 12:10:25"
696dd7cd7b156,"English Book 2 ",English,Two,6,0,"2026-01-19 12:05:49"
696f1c836f164,"Barano Sindhi","Sindhi ",Nursery,1,0,active,"2026-01-20 11:11:15","2026-01-20 11:11:15"
